date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
20120925,sh.000001,2028.633,2039.096,2021.809,2029.293,2033.192,4821940800,38445162494,3,0.002525,1,-0.19177,0
20120926,sh.000001,2027.855,2033.036,1999.484,2004.172,2029.293,5040082800,38415066392,3,0.002639,1,-1.237917,0
20120927,sh.000001,2003.099,2068.071,2002.324,2056.323,2004.172,7669145700,60338935875,3,0.004015,1,2.602122,0
20120928,sh.000001,2042.886,2089.633,2040.35,2086.169,2056.323,7944895200,64802323507,3,0.004159,1,1.451423,0
20121008,sh.000001,2084.849,2096.259,2063.089,2074.419,2086.169,5513161200,44793732470,3,0.002886,1,-0.563233,0
20121009,sh.000001,2081.589,2119.336,2081.589,2115.23,2074.419,8456378800,67520373269,3,0.004426,1,1.967348,0
20121010,sh.000001,2111.587,2121.992,2102.535,2119.942,2115.23,7891203500,60531573749,3,0.004131,1,0.222761,0
20121011,sh.000001,2114.232,2117.839,2101.14,2102.868,2119.942,7449702900,56744435900,3,0.003898,1,-0.805398,0
20121012,sh.000001,2109.07,2127.307,2092.511,2104.932,2102.868,6826297200,51434044796,3,0.003572,1,0.09815,0
20121015,sh.000001,2105.024,2107.199,2085.115,2098.703,2104.932,5394075100,42308632843,3,0.002821,1,-0.295924,0
20121016,sh.000001,2097.05,2111.78,2089.695,2098.808,2098.703,5781843800,47242197205,3,0.003024,1,0.005014,0
20121017,sh.000001,2104.28,2113.162,2088.044,2105.618,2098.808,5987406500,47070596465,3,0.003132,1,0.324461,0
20121018,sh.000001,2108.498,2137.686,2107.492,2131.688,2105.618,8719109200,65711759568,3,0.00456,1,1.23812,0
20121019,sh.000001,2129.82,2136.869,2125.736,2128.302,2131.688,6764127900,50605600280,3,0.003538,1,-0.158841,0
20121022,sh.000001,2118.521,2138.027,2112.752,2132.758,2128.302,6011722200,47534435094,3,0.003144,1,0.209371,0
20121023,sh.000001,2132.108,2136.218,2111.923,2114.447,2132.758,7268380600,54013091665,3,0.003801,1,-0.858561,0
20121024,sh.000001,2106.83,2123.998,2104.67,2115.99,2114.447,7288661800,49728088898,3,0.003812,1,0.072973,0
20121025,sh.000001,2114.764,2128.74,2100.609,2101.58,2115.99,8539310900,55690216572,3,0.004466,1,-0.681001,0
20121026,sh.000001,2100.1,2102.162,2058.063,2066.209,2101.58,7860643500,54248873731,3,0.004111,1,-1.683071,0
20121029,sh.000001,2061.847,2068.237,2053.092,2058.943,2066.209,5363500900,39078111019,3,0.002804,1,-0.351652,0
20121030,sh.000001,2059.202,2075.905,2054.264,2062.347,2058.943,6056909200,42767334901,3,0.003163,1,0.165318,0
20121031,sh.000001,2061.124,2070.479,2053.583,2068.88,2062.347,5952723400,43159088527,3,0.003108,1,0.316773,0
20121101,sh.000001,2070.02,2109.496,2069.947,2104.428,2068.88,8288667000,62606643902,3,0.004328,1,1.718229,0
20121102,sh.000001,2105.449,2119.224,2096.531,2117.046,2104.428,7655722000,55869885523,3,0.003997,1,0.599589,0
20121105,sh.000001,2113.328,2123.327,2104.584,2114.027,2117.046,7153876200,53222132005,3,0.003728,1,-0.142595,0
20121106,sh.000001,2113.658,2114.791,2078.472,2105.999,2114.027,7134385000,53697998810,3,0.003713,1,-0.379753,0
20121107,sh.000001,2102.419,2112.631,2093.289,2105.73,2105.999,5938012800,47163781132,3,0.00309,1,-0.012775,0
20121108,sh.000001,2091.254,2092.565,2070.65,2071.509,2105.73,6659456100,49276099893,3,0.003466,1,-1.625135,0
20121109,sh.000001,2066.495,2077.228,2062.417,2069.067,2071.509,5422346000,39065354573,3,0.002822,1,-0.117892,0
20121112,sh.000001,2069.214,2079.571,2061.84,2079.274,2069.067,5669485500,42083753188,3,0.00295,1,0.493316,0
20121113,sh.000001,2078.133,2078.133,2044.036,2047.889,2079.274,6108729300,44605159107,3,0.003179,1,-1.509416,0
20121114,sh.000001,2047.257,2056.488,2040.172,2055.419,2047.889,4809300000,35883690655,3,0.002502,1,0.367691,0
20121115,sh.000001,2045.456,2053.56,2029.874,2030.29,2055.419,5055685700,37082797748,3,0.002631,1,-1.222569,0
20121116,sh.000001,2026.563,2028.686,2001.716,2014.725,2030.29,4958168000,36821292718,3,0.00258,1,-0.766642,0
20121119,sh.000001,2013.246,2018.38,1995.721,2016.982,2014.725,4532701800,36090720201,3,0.002355,1,0.112029,0
20121120,sh.000001,2020.433,2023.611,2004.17,2008.923,2016.982,4258063500,33372963548,3,0.002213,1,-0.399561,0
20121121,sh.000001,2008.211,2031.149,1995.174,2030.319,2008.923,5328202100,39658621481,3,0.002769,1,1.065048,0
20121122,sh.000001,2021.209,2023.085,2009.72,2015.611,2030.319,4557784700,33727413953,3,0.002368,1,-0.724419,0
20121123,sh.000001,2020.015,2034.884,2017.004,2027.384,2015.611,5155146900,38278378090,3,0.002679,1,0.584094,0
20121126,sh.000001,2023.339,2027.274,2014.029,2017.464,2027.384,4477955100,33110722038,3,0.002326,1,-0.489303,0
20121127,sh.000001,2012.075,2014.211,1990.336,1991.165,2017.464,5662742200,39089182618,3,0.002942,1,-1.303565,0
20121128,sh.000001,1984.48,1984.863,1968.213,1973.523,1991.165,5050558700,34492569662,3,0.002623,1,-0.886019,0
20121129,sh.000001,1972.925,1980.556,1961.822,1963.488,1973.523,4954008800,33179657979,3,0.002573,1,-0.508477,0
20121130,sh.000001,1961.815,1983.419,1959.334,1980.117,1963.488,5689341600,37739106755,3,0.002955,1,0.846906,0
20121203,sh.000001,1977.254,1988.191,1957.884,1959.767,1980.117,6165337500,43027553647,3,0.003202,1,-1.027716,0
20121204,sh.000001,1956.616,1980.119,1949.457,1975.143,1959.767,6237812300,43054547446,3,0.003237,1,0.784582,0
20121205,sh.000001,1973.107,2040.604,1970.202,2031.907,1975.143,11997304000,85475970222,3,0.006225,1,2.87392,0
20121206,sh.000001,2029.562,2036.609,2018.379,2029.237,2031.907,8145921900,58452526304,3,0.004227,1,-0.1314,0
20121207,sh.000001,2028.766,2065.745,2023.961,2061.786,2029.237,11515728900,82158975512,3,0.005975,1,1.603993,0
20121210,sh.000001,2067.324,2087.007,2064.615,2083.77,2061.786,11538322600,81469437287,3,0.005986,1,1.066266,0
20121211,sh.000001,2077.557,2088.635,2070.192,2074.704,2083.77,9337083000,67930370635,3,0.004843,1,-0.435073,0
20121212,sh.000001,2073.271,2085.934,2066.391,2082.726,2074.704,7855914200,57115139819,3,0.004096,1,0.386656,0
20121213,sh.000001,2077.416,2081.363,2059.472,2061.476,2082.726,7227232400,52179639438,3,0.003768,1,-1.020297,0
20121214,sh.000001,2062.689,2152.496,2062.543,2150.625,2061.476,16087381200,1.18E+11,3,0.008386,1,4.324519,0
20121217,sh.000001,2152.097,2169.57,2151.936,2160.342,2150.625,14424221800,1.11E+11,3,0.007483,1,0.451824,0
20121218,sh.000001,2155.858,2183.714,2144.733,2162.464,2160.342,12609946700,99028894174,3,0.006504,1,0.098228,0
20121219,sh.000001,2158.67,2175.395,2154.287,2162.239,2162.464,9439152200,75813180710,3,0.004869,1,-0.010409,0
20121220,sh.000001,2156.193,2174.819,2142.951,2168.353,2162.239,9938418300,80073490883,3,0.005127,1,0.282763,0
20121221,sh.000001,2169.57,2190.398,2148.17,2153.31,2168.353,10337287200,84574353484,3,0.005333,1,-0.693751,0
20121224,sh.000001,2150.654,2170.394,2149.825,2159.053,2153.31,7846966400,67970651968,3,0.004044,1,0.266702,0
20121225,sh.000001,2154.32,2220.263,2146.862,2213.611,2159.053,14332770800,1.15E+11,3,0.007379,1,2.526946,0
20121226,sh.000001,2211.594,2220.475,2206.787,2219.132,2213.611,12185863000,97153766055,3,0.006274,1,0.249411,0
20121227,sh.000001,2223.655,2234.724,2204.79,2205.897,2219.132,12902350100,1.00E+11,3,0.006641,1,-0.596409,0
20121228,sh.000001,2207.913,2234.869,2204.003,2233.252,2205.897,11592493400,91970152857,3,0.005966,1,1.240084,0
20121231,sh.000001,2236.461,2269.512,2236.461,2269.128,2233.252,12803140200,1.06E+11,3,0.006564,1,1.606446,0
20130104,sh.000001,2289.51,2296.113,2256.56,2276.992,2269.128,13946993100,1.15E+11,3,0.00715,1,0.346566,0
20130107,sh.000001,2271.663,2293.317,2266.862,2285.364,2276.992,11816281300,96872865891,3,0.006047,1,0.367681,0
20130108,sh.000001,2284.654,2289.139,2262.979,2276.07,2285.364,12290787700,1.06E+11,3,0.00629,1,-0.406672,0
20130109,sh.000001,2271.299,2283.896,2259.051,2275.34,2276.07,12201492400,1.03E+11,3,0.006244,1,-0.032072,0
20130110,sh.000001,2274.377,2295.484,2268.648,2283.658,2275.34,12006667600,98236402918,3,0.006145,1,0.365566,0
20130111,sh.000001,2285.185,2290.205,2234.947,2242.997,2283.658,12506827500,1.02E+11,3,0.006399,1,-1.780516,0
20130114,sh.000001,2236.288,2317.617,2235.107,2311.74,2242.997,14474988900,1.24E+11,3,0.007405,1,3.06478,0
20130115,sh.000001,2312.468,2332.783,2309.323,2325.682,2311.74,16564598100,1.41E+11,3,0.008474,1,0.603091,0
20130116,sh.000001,2322.158,2326.764,2279.507,2309.499,2325.682,15351116700,1.33E+11,3,0.007852,1,-0.695833,0
20130117,sh.000001,2305.14,2305.602,2275.877,2284.909,2309.499,11910183500,1.03E+11,3,0.006092,1,-1.064737,0
20130118,sh.000001,2295.809,2324.509,2285.972,2317.07,2284.909,12543802600,1.05E+11,3,0.006414,1,1.407546,0
20130121,sh.000001,2321.49,2329.581,2305.099,2328.221,2317.07,13468045800,1.13E+11,3,0.006887,1,0.481249,0
20130122,sh.000001,2326.49,2335.806,2301.301,2315.139,2328.221,14946658400,1.23E+11,3,0.007699,1,-0.56189,0
20130123,sh.000001,2308.521,2325.118,2296.491,2320.911,2315.139,11817972200,96956218661,3,0.006087,1,0.249314,0
20130124,sh.000001,2320.258,2362.943,2287.296,2302.598,2320.911,16103167400,1.36E+11,3,0.008294,1,-0.789043,0
20130125,sh.000001,2300.001,2308.38,2288.262,2291.304,2302.598,9260574100,80267388572,3,0.00477,1,-0.490487,0
20130128,sh.000001,2295.352,2346.921,2295.352,2346.505,2291.304,12838376000,1.17E+11,3,0.006611,1,2.409149,0
20130129,sh.000001,2347.215,2363.797,2337.353,2358.977,2346.505,14185393400,1.25E+11,3,0.007304,1,0.531521,0
20130130,sh.000001,2360.748,2383.763,2347.89,2382.475,2358.977,14987890700,1.25E+11,3,0.007717,1,0.996112,0
20130131,sh.000001,2383.426,2391.821,2371.226,2385.422,2382.475,13970789200,1.16E+11,3,0.007183,1,0.123696,0
20130201,sh.000001,2377.414,2421.154,2369.57,2419.02,2385.422,14081817200,1.26E+11,3,0.00724,1,1.408468,0
20130204,sh.000001,2425.921,2440.376,2417.585,2428.154,2419.02,16755140200,1.53E+11,3,0.008608,1,0.377592,0
20130205,sh.000001,2411.001,2437.415,2403.302,2433.13,2428.154,15075450500,1.27E+11,3,0.007745,1,0.204922,0
20130206,sh.000001,2432.677,2441.726,2427.699,2434.477,2433.13,11657996600,1.05E+11,3,0.005989,1,0.055368,0
20130207,sh.000001,2430.688,2433.893,2394.218,2418.53,2434.477,12000863400,1.09E+11,3,0.006166,1,-0.655049,0
20130208,sh.000001,2416.619,2443.032,2414.398,2432.402,2418.53,10907038600,98965224617,3,0.005603,1,0.573574,0
